x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
74,1,695239,694804,682512,731264,699012,704361,686602,705726,735917,742195,779173,807555,824677,849018,881027,969631,1063368,
75,1,666097,692683,707400,693167,694217,708681,708714,706399,703572,735417,743755,754059,802469,817699,825566,881493,936207,
76,1,617290,630223,666107,640614,647552,667821,671402,668805,662663,668126,690033,696756,713372,766364,766848,791593,824667,
77,1,621032,608506,617453,640342,626412,626546,635015,629868,628655,615010,626368,655412,682878,686571,724628,735622,770802,
78,1,532615,555316,568857,559536,577267,612217,602691,613994,606869,596194,585009,594714,637232,646853,681420,679194,733592,
79,1,521391,507204,530604,533774,548547,570445,574854,550379,564945,563917,579835,564184,558461,603313,620252,617966,667545,
80,1,484390,488646,484410,506174,504907,534828,538826,544109,534484,549993,559364,558701,569430,551820,591140,582825,616913,
81,1,425755,440369,416539,431477,447620,483373,483002,487977,496196,488700,495684,511316,497287,511760,504465,548670,549180,
82,1,343675,384457,406044,394788,415327,447274,457520,454003,451023,463183,454122,469445,473254,478703,475994,483613,492165,
83,1,306330,320395,335073,358018,371832,400503,402312,414892,411338,427150,427080,426549,437493,439699,433314,454004,432862,
84,1,255675,290613,255141,303238,325996,347684,354166,372217,367043,373773,393593,391946,389543,406295,411053,395099,389184,
85,Inf,1072849,1113227,1188715,1207585,1282456,1550534,1606146,1696868,1740961,1789305,1870157,1963855,2000160,2033501,2101660,2182653,2205892,
