x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
61,1,2196577,2360403,2439589,2748325,2655181,2630941,2773902,3535313,3491861,3463409,3531262,3596925,3674430,3843979,3907373,4004376,4088313,
62,1,2238838,2303655,2351530,2520111,2828790,2753112,2733385,2801188,3543310,3511451,3494012,3555445,3656827,3773150,3841908,3927507,4057758,
63,1,2153402,2137495,2222320,2272155,2457168,2735391,2655561,2647839,2763012,3549177,3457280,3444298,3464337,3592311,3719455,3820215,3895138,
64,1,2023226,2121923,2163485,2199836,2289164,2459340,2747164,2641018,2651226,2813747,3546586,3417871,3437230,3487415,3554029,3710058,3774347,
65,1,2075740,2069432,2174282,2145900,2196291,2389710,2480035,2756889,2628740,2715656,2830527,3548203,3508225,3503188,3496379,3566731,3686282,
66,1,1974191,1873023,1942717,2024979,2027307,2095686,2190473,2342931,2664890,2599976,2583796,2693296,3384162,3321889,3319878,3366515,3431850,
67,1,1802007,1933915,1898534,1961058,2046172,2057624,2101572,2201022,2326348,2640592,2557206,2530935,2693509,3361429,3335312,3288826,3298705,
68,1,1786905,1763386,1882915,1883275,1882638,1964352,2038400,2097675,2155251,2375291,2589360,2547830,2532595,2617422,3346605,3260930,3284397,
69,1,1747672,1805629,1750943,1811155,1835404,1836270,1917641,1975946,2004161,2168013,2305724,2561842,2490307,2492024,2601889,3261724,3232250,
70,1,1826740,1815576,1796491,1768535,1848407,1889471,1920533,1981142,2037842,2134372,2207568,2377213,2640152,2547831,2549158,2675714,3302590,
71,1,1764797,1700934,1676478,1667240,1622099,1762837,1772385,1801597,1878235,1925851,1971912,2073235,2217880,2500886,2398206,2398392,2493272,
72,1,1713090,1706831,1715033,1666996,1657763,1698761,1755351,1770920,1774566,1876702,1912226,1996444,2047091,2197270,2430931,2348589,2384658,
73,1,1683167,1663818,1643370,1651575,1623603,1644343,1606425,1663234,1706234,1779528,1858378,1886869,1918566,2029340,2173229,2405700,2297874,
74,1,1629217,1618443,1554875,1638120,1587779,1604874,1572789,1573208,1644702,1657223,1694665,1788384,1804401,1871835,1947718,2123704,2326551,
75,1,1612333,1603945,1634702,1566424,1590568,1622197,1593975,1613788,1596166,1629953,1656063,1704829,1776835,1817671,1832698,1952951,2090260,
76,1,1527591,1514428,1562391,1484041,1509020,1544507,1557035,1531690,1519486,1497064,1543014,1586331,1596019,1682215,1717440,1768813,1861719,
77,1,1439825,1444763,1438798,1490549,1464976,1474121,1520392,1478757,1467677,1418462,1446832,1505529,1538797,1541273,1651281,1648806,1722453,
78,1,1294040,1376885,1380267,1363587,1382858,1453540,1441320,1456683,1421492,1384447,1374487,1383597,1457791,1493137,1535754,1557444,1647646,
79,1,1300752,1250823,1328775,1312498,1313019,1379767,1394357,1352861,1362452,1330151,1347648,1302516,1310973,1401911,1408511,1407512,1526469,
80,1,1230838,1244487,1248311,1275600,1270029,1344721,1367152,1334006,1317425,1334532,1334299,1313715,1323836,1306338,1369949,1376105,1419697,
81,1,1063989,1117443,1081021,1097633,1124090,1242733,1219061,1224729,1238790,1197533,1222955,1214903,1213247,1216127,1205850,1280627,1277402,
82,1,907790,976168,1018195,1041021,1062449,1148707,1178103,1163762,1161460,1154076,1146718,1170703,1160226,1153289,1160414,1157963,1210573,
83,1,825599,850882,903401,951004,959133,1059497,1075691,1097897,1084864,1081249,1083065,1079711,1086896,1091758,1072353,1066062,1059675,
84,1,703769,798312,729643,839329,874331,964540,978207,1001789,996572,984224,1019181,1011057,994400,1032090,1009535,1011040,980395,
85,Inf,3348311,3436354,3535037,3624971,3840271,5015629,5117541,5376391,5504760,5564479,5702332,5848422,5967460,6033246,6151719,6304147,6266767,
