x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
60,1,1284394,1335686,1498161,1475517,1460761,1549217,1917379,1884598,1869357,1950347,1989015,2039712,2083834,2139579,2199377,2222492,2321019,
61,1,1137727,1243607,1285442,1443721,1378282,1360943,1450258,1834413,1817988,1805732,1846034,1871522,1903797,1999621,2036600,2094646,2110584,
62,1,1182723,1202981,1226721,1340248,1469945,1434546,1438695,1444440,1824805,1833272,1828407,1855789,1908724,1969242,2008061,2069708,2118276,
63,1,1151020,1136698,1177658,1189070,1286235,1438836,1388093,1388968,1444317,1838562,1797073,1805251,1813433,1869229,1941415,1995873,2047215,
64,1,1054743,1119787,1128651,1158676,1199017,1297058,1441643,1391187,1397514,1468583,1843858,1792097,1818100,1819860,1872041,1946786,1970494,
65,1,1114893,1103462,1159849,1166865,1167326,1267352,1317863,1461717,1398228,1433859,1485139,1859542,1846894,1849237,1832617,1885291,1926915,
66,1,1065549,997848,1024487,1072826,1077463,1122349,1159429,1242672,1404038,1370284,1351403,1419752,1769559,1739936,1754162,1760759,1807786,
67,1,962226,1027868,1016060,1064307,1095406,1093208,1128612,1178643,1239656,1401368,1351821,1343992,1442663,1774934,1764592,1734495,1749020,
68,1,974914,959090,1036161,1020696,1013371,1056623,1077680,1138144,1155407,1274877,1376654,1348702,1338242,1366958,1770665,1742741,1737208,
69,1,952543,974097,941718,978082,991075,987779,1041495,1067102,1075400,1158366,1233610,1365073,1327694,1329975,1381613,1725311,1719747,
70,1,985837,1002637,977820,975602,1001140,1031491,1044759,1067313,1103798,1140695,1190638,1284879,1415661,1357049,1354233,1420052,1754883,
71,1,968821,926536,927721,895447,881939,967151,955069,967049,1014172,1029944,1072041,1107163,1183205,1347078,1278442,1300033,1342306,
72,1,954156,936501,946255,921868,917464,933118,964413,966894,980044,1019433,1047083,1079847,1084502,1178440,1329950,1272625,1297296,
73,1,951809,947432,920783,917917,901254,920646,887951,926896,935932,968841,1007627,1009974,1042574,1116632,1168920,1295044,1241734,
74,1,933978,923639,872363,906856,888767,900513,886187,867482,908785,915028,915492,980829,979724,1022817,1066691,1154073,1263183,
75,1,946236,911262,927302,873257,896351,913516,885261,907389,892594,894536,912308,950770,974366,999972,1007132,1071458,1154053,
