x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
70,1,59008.8,75562.7,70545.3,75930.8,61338.2,90918.5,89947,80765.1,47387.8,82127.6,74151.7,112455.7,86255.2,83750.8,91966,74166.5,126899.8,
71,1,73403.6,83475.6,90562.9,73301,79650.2,68710.6,85780.3,58663.6,82538.5,52389.1,47647.9,117459.2,73469.1,84368.7,92004,75620.7,106960.7,
72,1,65522.5,79805.2,77586.7,68731.6,59938.8,69512.6,61565.5,54336.8,53542.3,49721.6,46789.8,53756.1,74554.4,27882.8,72987.5,92185.6,75853.2,
73,1,60200.4,71606.8,58238.9,87060.7,73819.5,62372.1,49887.3,56507.9,50745.9,48133.1,46808.8,58648.5,55845.9,52907.7,89451.8,66632.6,80966.4,
74,1,69053.8,54592.6,50409.6,38038,65521.3,41404.5,70284.2,50311.5,52548.6,73580.4,48529.7,42693.1,48397.9,71677.2,104636.3,36674.5,69475.7,
75,1,71234.4,62903.4,52232.7,52285.1,56766.9,35083.4,48487.3,36913.2,47756.6,36674.8,38476.8,39988.5,61657.6,37161.4,68078.4,40756.9,53637.8,
76,1,45861.7,50432.7,56428.4,66778,50543.1,51035.1,35563.3,46110.9,60720.4,61719,44223.1,55595.3,61444.8,42661.8,42366.2,46685.3,74916.8,
77,1,54771.4,64736.8,59043.2,84426.4,67619.2,61331.1,55077,55440.2,50782.6,28425.5,48533.9,32163.4,60972.1,35818.1,67774.9,51878.8,43151.6,
78,1,28743.7,38249.4,46053,60090.5,53735.6,45487.9,53550.4,54106.8,39335.4,38967.1,40080.2,35855.5,32888.6,54914.3,43307.4,60180.9,24435.7,
79,1,48146.2,37344.6,63848.8,55853.6,57153.4,56886.2,39652.3,33149.5,35161.1,43996.1,28793.1,49647.1,35740.7,78851.7,37935.9,46390.1,36660.8,
80,1,33051,270571.6,319323.3,226162.7,191178.2,179749.9,218818.3,220421.9,161890.4,166291.3,199612.3,166303.5,183972.1,114860.6,213562.4,154240.4,193917.7,
81,1,34926.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,34271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,20179.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,20429.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,137380.1,0,0,154602.2,145817.6,173957.6,159061.9,150978.1,175127.7,168341,171975.9,173566.4,208656.9,96641.1,227721.8,202093.6,246037.1,
