x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
65,1,984318.8,1015308.1,1022271.2,1172784.4,1138167.5,1157891,1256420.9,1339379.8,1399088.1,1440343.4,1107187.6,1607311.3,1639878.3,1492821.3,1694383.8,1720485.5,1637921.5,
66,1,984388.4,924181.1,908531.5,1049515.1,1037819.3,1153908.3,1058036,1119035.2,1259075.6,1301375.6,1303078.3,1189700.3,1608410.6,1691789,1564060.7,1617579.4,1651222.8,
67,1,882598,911209.1,843423.6,804231.1,956815,792499,984193.3,954514.4,1093231.4,1108810.7,1170038.7,1172549.7,1313704.3,1625400.2,1486909,1507851.4,1563882.8,
68,1,843700.3,856560.9,753262.4,803197.5,859207.2,835733.6,791743,885963,964551.7,957532,1139873.9,1225748,1132162.2,1444474.5,1523838.9,1455490,1518760.7,
69,1,788746.6,833625,789962.4,736710.3,822965,842243.8,922578.3,938777.5,915807.1,1042334.1,971499.8,1265457.8,1206152.4,1086374.5,1122122.8,1473691.8,1535297.2,
70,1,815644.8,760479.6,823602.1,729581.6,722903.2,908878,817319.8,840936.2,876896.6,902818,1029582.8,1101367.7,1167607.6,1404118.1,1142328.8,1180855.2,1568354.6,
71,1,787073.9,791516.2,764444.5,836095.2,736166.7,765231.6,801139.4,727126.4,742784.3,774605.9,869581.1,978232,1032100.5,982173.2,1087408.2,1101636.2,1093266.9,
72,1,764672.6,699355,879857.1,663855.3,759570.4,740642,759388,779591.5,773324.4,756512.2,844410.1,851196,872079.6,1064771.2,1018836.5,1006504.1,1045057.6,
73,1,645973,730989.9,732080.5,859227.5,714007.4,640178.2,666070.8,712625.7,730592.3,840103.1,849722.3,854114.6,878838.2,933982,1039220.8,1034806.3,987675.6,
74,1,685983.9,704449.2,757467.6,700365.9,718402.7,688449,682402,679422.5,645621.3,796346.4,734892.3,734078.8,753172.1,802472.3,875345.6,861748.3,1065056,
75,1,711571.3,653760.6,737784.7,605701.2,676188.3,711751.6,669611.2,643348.9,704933.3,637182.5,736492,672592.8,646760.6,726965.4,842432.3,901518,903939,
76,1,565881.3,628765.8,578351.7,660838.9,653271.4,645804.9,673191.5,608837.3,596245.3,684729.7,629388.9,693227.1,703381.9,677294.6,790081.9,827570.5,856770.2,
77,1,622952,696204.8,556723.2,756062.6,724504.4,780916.7,813279.5,758055.3,735222.7,770632.2,593610,614265.7,682802.5,603030.7,745807,776659.5,787920.9,
78,1,562059.4,618752.9,615356.9,611331.2,627937.4,669682.4,663941.5,684216.9,697823.4,630491,611746,569811.1,660827.5,714394.7,619239.6,704606.6,706406.8,
79,1,493645.3,443814.6,518409.1,496441.3,542644.6,443792,450502.2,505091.8,432828,436076.6,542867.8,572531.1,539445.7,603041.8,582818.9,643822,622207.2,
80,1,457775.2,2966507.9,3246302.2,2108877,2184753.9,2077802.4,2097986.7,2106061.4,2248064.9,2303492,2410592.6,2420725.7,2489592.3,2281778.1,2318274.3,2399970.9,2437665.9,
81,1,396647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,365269.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,331174.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,302839.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,1122161.1,0,0,1201954.9,1271467.7,1329301.2,1334720.6,1478950.9,1492054.5,1584185.8,1837567.1,1809447.4,1970587.9,2081223.7,1986075.6,1994678.9,2178359.3,
