x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
24,1,823461.3,346001.8,1062257.4,469155.3,1257895.7,1259421.8,1194312,1178993.4,1518272.4,,,,,1520403.5,,,,,1551697.2,1612515.4,1595576.9,1589439.8,,1663693.5,1530654.9,1543023.2,1549913.2,1509819.6,1385463,1382085.8,1455692.6,1557960.6,,1341135.1,1387722.1,1338592,1373844.3,1357370.5,1351147.4,1310131.7,1362466.1,1228986.4,1321661.2,1332802.5,1199339.3,1286417.8,1233734.4,1233664,1114571.8,1103696.3,1088672.9,1304955.5,1277016.3,1202123,1097204.8,
25,1,852973.6,367653.1,930330,401786,932954.7,1085137,1183101.5,1078950,1105969.1,,,,,1334571.2,,,,,1476685.3,1527300.1,1428101.2,1497241.8,,1722135.2,1588166.2,1536605.9,1705205.3,1533161.5,1490164.8,1349836.2,1309849.5,1423608,,1620827.1,1343775.4,1211629.5,1124637.7,1239153.8,1290925.1,1290595.7,1135340.5,1223510.1,1311627.7,1358845.2,1164783.7,1205001.7,1262558.8,1209242,1091380.5,1085216.1,1079930.6,1111127.2,1124272.1,1273053.8,1126190.9,
26,1,842661.1,314493.4,886710.9,384124,885202.1,903868.7,1034706.6,1017618.6,981084.2,,,,,1248186.6,,,,,1369969.9,1331184,1412977.4,1390124.8,,1470372.4,1545013.7,1528457.1,1396327.5,1471102.1,1482560.3,1493831.8,1307221.3,1155409.2,,1346482.6,1355975.1,1285609.4,1277971.3,1162183.9,1153180.4,1195271.9,1114938.8,1120785.2,1109988.3,1219523.8,1200859.4,1139681.3,1119622.4,1071924.5,1142497.6,1182398.5,1052346.8,1001918.5,1123993.7,1136981.1,1149677.9,
27,1,719661.2,250514.3,789719.9,295598,761684.8,836593.9,765891.2,938128.1,980450.3,,,,,1174096.1,,,,,1202092.7,1226484.6,1283972.3,1283580.1,,1392952.3,1451062.9,1361600.2,1483348.8,1496438.5,1261577.2,1362514,1213167.2,1234786,,1240753.3,1293766.5,1183381.7,1094281.2,1177182.5,1063116.3,1074722,1070034,962534.8,1117698,1000564.9,1098324.8,1098173.8,1115247.1,1096403.9,935273.3,959930,999228.7,915943.3,1027204.5,938409.3,998022.6,
28,1,700227.7,292539.1,728749.2,312283.6,685718,716336.7,761194.1,790957,814935,,,,,1046387.5,,,,,1105114.7,1086308.2,1201029.7,1187541.7,,1379031.2,1243444.3,1343557.6,1304925,1316816.8,1303893.9,1306320,1106499.9,1152526.1,,1084596.7,1196560.1,1093809.5,1302449.6,1216354.7,1032221,1026902.5,1006690.2,1011093.2,1000895.2,1010664.5,909083,1018525.9,1021897.3,1080487.3,950530.4,944477.9,986056.2,900012.6,1021657.2,1050135.1,926330.7,
29,1,621073.8,229954.2,668462.8,235416.3,657088,667953.1,634948.5,738755.8,748296.4,,,,,963635.5,,,,,960427,1079829.1,987074.9,1115544.8,,1314556.5,1244651.9,1261874.2,1243567.4,1261716.9,1227704.7,1140914.7,1111329.6,1051006.3,,1160081.6,1089673,1105532.2,1107847.9,1115601.9,933614.7,1012577.1,924785.1,931116.1,962808.4,956625.2,942420.2,823495.5,938596.6,959499.1,935747.3,964968.7,797114.3,885455.3,878641.1,989428.4,943523.1,
30,1,573299.2,254854.6,683916.2,241517.1,582221.5,601659.6,590157.6,595005.1,597493.2,,,,,715069.7,,,,,879960.6,933357.9,933620.9,992552.3,,1094201.8,1224667.9,1187524.4,1057649.7,1202340.3,1154096.2,1241013.8,1109885.7,1226604.6,,1002792.6,944558,940718.8,1063473.1,973039.8,1040121.5,1052524.3,848300.5,882820.4,876997.5,937637.7,822704.7,823788.7,856461.9,845817.1,829195.1,816657.7,852616.7,883562.5,823812.5,847715.1,925763.8,
31,1,508602.6,223529.6,475064.7,219438.5,561322.6,583969.2,548612.8,517333.9,545918.3,,,,,669588.4,,,,,831375.7,833540.3,807220.4,987018.4,,1067812,989697.3,1058855.7,1006165.4,1040155.7,1025544.4,1048649.5,939153.4,1002184.7,,1001190,975377.7,920604.2,922251.5,1020461,820888.2,887112.3,819794.6,763111.5,751948.8,746847.9,884984,722066.4,708357.9,779563.4,732850.3,713786.1,641976.9,783635.6,753573.6,695210.6,852794.3,
32,1,487200.2,228947.2,558794.4,199672.8,541277.4,534310.6,484011.3,464216.7,511903.2,,,,,584574.6,,,,,738803.1,771945.2,778220.8,820033.2,,976748.2,992144,987842,1036926.8,1051531,941648.7,989471,1049684.4,1006762.2,,1020807.7,978954.3,864672.3,825565.1,787817.4,871621.6,879616.1,863444.6,712296.6,818374.9,703407.7,720448.1,588777.1,721097.1,769659.7,618833.1,713092.1,755750.5,697895,714199.7,664617.2,787591.7,
33,1,473907.5,245558.6,514577.3,229338,467365.6,479316.9,469794.1,453081.9,524928.9,,,,,505826.2,,,,,698034.3,683213.4,700279.6,729121.2,,806136.8,872607,885458.7,889488.6,916819.2,909065.5,893371.9,955446.5,974056.1,,826194.6,834770.3,889606.9,879995.1,773913.6,735765.1,728275.2,801148.1,817755.9,767388.2,733520.4,714653.7,655264.3,586231.2,671567.9,629384.7,694455.6,644191.6,655980.8,649064.4,693051.2,619828.5,
34,1,453732.9,176787.7,503483.4,165702.4,459018.2,408100.1,458685.1,417174.1,393792.5,,,,,442055.3,,,,,617636.3,637083.8,629933.2,647674.2,,780139.9,844398.8,784989.3,832013.5,904756.6,755698,891890.5,770620.6,890723.9,,838701.4,929863.6,883452.3,840936.1,746727.6,713340.1,726025.8,728758.2,702248.1,733090.4,642636.2,624406.2,530532,599914.3,593965.4,561278.3,724971,614735.4,668326.5,661738,512237.9,551211.7,
35,1,552427.1,173989.5,475146.8,183558,454357.5,416759.6,430833.6,452986.3,404013.1,,,,,441641.4,,,,,480023.1,574025.2,694559.8,669377,,768713.4,779866.6,791059.6,767276.3,877292.1,824128.3,879557.1,765569.4,831093.7,,798302.6,879217.1,794235.5,798077.8,854222.7,653368.5,650019.5,672966.8,774827.2,710028.9,792525.5,684450.8,540977.1,622562.3,580110.3,521879.7,604311.1,594675.4,492509.8,662298.5,620892,591275,
36,1,481420.6,162086.9,433653.5,165283.1,453541.2,433284,443837,370808,336043.1,,,,,387979.9,,,,,445975.9,465513.8,563203.1,634473.2,,667444.5,653040.8,729638,694709.5,773940.1,668897.3,697529.5,784468.8,786777.3,,731661,832203,803366.9,709417.7,778765.6,733864.7,651420.4,622513.7,617176.6,582017.4,650674.9,679277.2,564655.4,548746.9,544556.1,499524.1,573886.5,533515.6,466667.9,536363.7,572873.2,566457.1,
37,1,474799.5,109698.2,431139.8,178207.4,335228.6,442804.1,330513.8,337339.8,347274.2,,,,,395530.4,,,,,419584.7,409004.9,381392.5,528394.8,,584893.1,731969.3,603660.2,627369.8,697731.7,692473.1,740246.1,771115.5,765457.4,,705440.9,675185.4,748136.9,685494.6,704726,677978.2,671478.6,640966.5,557137.9,600209.5,627489,550594.7,586343.9,575008.7,487002,461733.6,441140.6,492123.4,525404.6,528847.4,502661.4,440094.6,
38,1,439310.9,98215.6,387659.9,143938.1,447924.6,415701,338985,353756.5,366440.9,,,,,325818.4,,,,,387353.9,359770.4,382173.3,418175.5,,613320,666972.7,577309.7,607254.1,637724,584641.9,618369.2,669133.6,651053.3,,688113.6,748830,697124.6,634619.9,638895.6,595198.4,659419.6,691634.2,559014.1,523068.9,608681.6,550108.4,480322.5,549517.7,556551.9,430819,447168.5,498983.6,370795.5,448980.4,482707.3,475423.1,
39,1,438531.2,166411.6,335543,102602.4,304911.3,376473.5,354337.2,330717.5,306773.9,,,,,322660,,,,,344672.3,401187.5,348191.6,413156.2,,577977.9,638355.2,570209.4,550136.2,584658.6,502284,611883.3,627693.1,621766.9,,669302.4,639655.4,704546.1,648915.1,738262.3,519128.1,636865.1,624255.5,525267.8,563487.4,534283.4,496962.4,447317.3,520869.8,476805.6,435356.6,467448.8,508284.7,509610.7,445651.7,403739.5,441377.1,
40,1,395181,111512,401983.5,117650.5,339357.9,410230.3,391045.9,369777.9,295633.1,,,,,286434.7,,,,,286256.8,331289.4,336349.6,375164.4,,515607,528969.3,571095.6,574301.9,561782.4,575943.3,527181.9,628742.8,631749.8,,610626.3,617168.4,556638.4,649329,674754.9,607148.1,640534.1,615365.4,641370.9,616109.7,596866.4,513450.1,481694.2,538897.7,516796.4,535716.1,382951.3,517383.5,425210.4,425091.3,417962.2,463048.3,
41,1,345071.8,84061.2,339169.4,137649.1,327261.4,303890.1,298549.4,300456.1,273225.9,,,,,237458.6,,,,,278764.4,291299.4,276542.4,386646.6,,408218.7,460998.9,428104.5,549235.8,529477.6,500874,551176.7,558215,551044,,565944.9,576651.7,615400.7,681295,635041.5,526435,563290.9,525402.9,540654.9,544019.5,501229.5,551647.5,372040.4,443667.9,400908.3,434632.6,433822.4,389556.6,337036.3,444163.4,367369.6,466685,
42,1,435428.5,111388.7,324190.6,111200.2,289166.9,356479.1,306005.7,320697.5,293689,,,,,277443.5,,,,,272949.6,254815.9,308034.5,345978.9,,413722.1,460851.4,414620.4,466392.2,527433.2,462848.4,503393.8,452667.6,532176.3,,501013.4,511718.8,540553.3,557521,534467.5,518464.1,586989.1,582535.9,518681,504283.8,518135.1,493488,408924.1,471109.1,386580.1,402061.9,432273.8,470972.8,433168,396103.6,342305.3,417369.7,
43,1,348378.9,89736,344059.1,110716.6,338061.5,333373,320155,264063.9,267120.9,,,,,259745.2,,,,,257519.8,238956.6,235115.1,318934.5,,397245.3,395926.8,362668.3,393033.9,454949.5,424764.8,458019.6,477162.6,466646.6,,406246.5,509133.3,483742.5,490589.4,563868,422271.7,449079.8,499039.7,493460.2,426976.1,502674.6,488396.7,406591.3,392997.8,380490.4,392719.1,389795.6,392682.2,394231.6,396641.8,385545.8,314629.7,
44,1,340925.5,81772.1,310980.7,83528.2,330445.2,311658,288080.9,240727.6,267827.4,,,,,233629.9,,,,,239400.4,282808.8,248369.4,281745.6,,330070.9,383114.9,312019.3,367692.3,347319,460332,405176.8,399555.4,418961.2,,387992.1,452030.3,511285,472989.2,504037.3,485519.6,522586.5,459722.3,483710.6,483195.4,453632.8,408275.9,414023.9,347460,405590.9,315885.2,378338.3,380076,254424,396981.4,364170,379743.2,
45,1,352033.9,109946.9,361809,111301.8,284476.9,302240.7,330993.9,272045.8,289141.4,,,,,248952.6,,,,,232904.7,267706.4,221767.6,286312.3,,341701.4,314579.9,376354.7,346842.3,342192.1,351724.1,405347.1,392360,433216.6,,422573.3,487531.4,442094.9,421766.7,462368.3,454797.2,378976.7,436853.4,432479.5,450705,471235.2,453754.7,404930.9,405997.7,427829.6,369873.8,351332.6,458689.3,349882.3,399282.9,364166.2,368054.5,
46,1,331922.4,78695.1,280504.7,91608.7,266650.9,276128.6,249390.8,265473.2,253811.9,,,,,231630.5,,,,,218303.1,214168.6,182708.1,189356.4,,296298.8,288574.2,301695.9,355384.4,339761.6,336067,348979,474694.5,434378,,359847.1,394084,431941,430994.9,370089.9,465112.8,442269.6,417750.8,361492.3,375801.4,428771.7,436213.5,405695.1,414131.7,393350.1,423697.3,382737.4,357000.8,335702.9,386798.2,391704.6,325225.9,
47,1,368518,82269.7,290744,86273,252247.7,277764.7,267834.4,295247.6,250072.8,,,,,196527.9,,,,,207854.3,185790.5,182144.2,235774,,266632.7,229391.5,252356,291914.4,269532.6,300954.4,310695.7,312454.5,400695.9,,397873.6,350035.8,392236.1,357751.7,425069.5,344693.3,422236.2,437210,351639.3,472582.4,391351.6,381067.4,324822.9,332003,371830.3,356135.7,376185.6,321061.9,338378.6,332289.7,320415.1,322030.9,
48,1,271745.6,93550.4,259631.4,89925.5,289716,231146.2,271463.1,252314.1,261266.2,,,,,207099.8,,,,,204734.4,214353,208842.5,205766.7,,225010.7,236711.9,246340.2,268723.2,252422,329791.4,354999.6,279332.7,337859,,361327,318655.4,316497.9,376935.4,339433.4,300581.1,340637.5,358747.9,369948.7,395554.6,370586.5,354516.4,283392,351804.3,327171.1,396994.4,375690.7,365608.4,339832.2,359446.2,337606.7,348784.7,
49,1,371847.5,116029.6,254169,67566.1,207901.3,213395.3,244472.9,293827.7,220363.9,,,,,215295.3,,,,,202943.4,201913.3,183279.8,199933.5,,191384.1,239552.2,253971.7,280551.4,252447.7,246009.2,234143.9,342118.2,276456.9,,368644.2,345705.7,308783.3,362879.9,379279,300998.2,371633.3,325128.5,325890.6,392465.2,417936.7,337546.6,304304.2,377895.9,336184.7,336408.5,290033.2,355194.8,279402.9,321276.3,332394.9,311834.6,
50,1,277511.2,72411.8,295870.7,74727.9,282440,274571.6,252290,205609.2,231088.1,,,,,217980.5,,,,,177329.7,167836.7,161281.7,203430.3,,208045.5,296103.4,228578.1,281585.8,237139.5,265175,262454.4,348856.6,283193.2,,299632.6,345466.3,315784.3,285991.3,310894.1,309021.9,324869.3,333845.7,343571.4,372634.5,355864.8,343383.9,272970.7,317755.9,399102,356937.5,388605.4,371146.6,330488.9,357374.6,339325.2,282375.1,
51,1,203952.9,82127.4,242305.8,93057.5,194533.2,203652.9,186308.4,236899.6,211638.9,,,,,194335.5,,,,,166607.2,183146.6,158262.6,152285.9,,190555.6,232449.5,224727.1,239526.3,231237.7,227259.9,249597.4,263066.9,273529.4,,243284.7,281441.4,267771.4,340870.6,325643,259518.8,276814.4,281045.4,289184,306641.1,307943.4,350585.5,326426.9,322478.3,334731.1,316016.4,394687.1,324233.7,280634.1,292680.5,283002.8,299592,
52,1,207866.4,66471.8,215232,74977.3,214324.3,200428.3,176677.2,191300.6,192476.1,,,,,197185.3,,,,,136285.1,204186.1,198532,163221.3,,186427,196298.9,244362.2,173475.7,194573.9,209556.5,231536.1,222268.4,222789.1,,236407.2,231445.1,250989.2,292760.9,284855.3,250712.9,296273.2,323558.1,281395.2,270364.6,313178.8,276340.1,254977.4,264245.6,329331.4,268932.3,293962.6,297842.4,338526,266756.3,274436.8,282151.7,
53,1,196724.6,68275.2,197505.2,61110.9,216978.7,210030.7,180687.5,160716.2,197788.8,,,,,176291,,,,,159537.6,162748.2,160973.4,155731.9,,256119.6,187579.7,186115,219126.5,182688,191085.8,258067.5,204850.4,244009.8,,199808.3,239041,253854.7,243095.7,317090.6,269101.6,280610.4,317443.6,264846.8,238705.3,273791.6,298894.1,320652.3,280119.1,293844.3,253520.4,263054.3,315073.3,291077,325066.7,308468.7,335876.8,
54,1,272457.3,60060.7,232192.3,69804.4,226406.9,198193.5,200790.5,180965.8,181374.1,,,,,152435.9,,,,,206651,163128.2,147938.9,179596.9,,183303.1,169913.8,197709.9,180096.1,195588.4,203831.4,190387.3,210333.1,189471,,194982,206453.6,238115.6,239402.2,205590.4,248562.1,318253.3,216289.3,244608.3,229682.6,239539.6,342945.4,287192.3,304074.5,319513.6,278782.9,285262,275469.7,215683.6,286677.9,280168.5,261813.8,
55,1,188694.4,41806.9,222613.7,84861.2,200769.3,219967.3,207341.2,216325.5,195401.3,,,,,195610.2,,,,,180222.7,179054.6,159463.1,138987.4,,190470.4,193417.6,168016.2,184808.5,162624.1,189169.2,181441,192733.5,176169.3,,200751.5,236804.1,284375.3,218850.1,239201.8,187797.5,239924.2,266520.4,258595.1,228525.3,262458.4,218790,241569.3,296141.6,203926.8,233957.7,251935.6,267776.1,411539.6,294129.1,268546.2,268267.5,
56,1,209180.7,39993.2,177885.2,58818.9,179743.5,177740.3,174723.1,181928.1,171500.7,,,,,171184.4,,,,,150797,155239.6,127064.4,174053.5,,164538.7,177463.1,147695.5,202056.9,180351.3,173408.8,147842,207067,159746.7,,176581.1,222976.9,230525.7,220807,210435.5,201205.8,204154.5,243389.2,230299.8,227201,225261.7,271214.9,183908.8,225165.5,220961.6,224735.1,280281,325917.6,255833.3,255685.9,227863.9,269764.7,
