x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
43,1,4521559.6,4509929.7,4503681.8,4575317.2,4404295.5,4620913.3,4462609.5,4563688,4235363.8,3965524.3,3898481.7,4061516.4,4130029.4,4410914.3,3989766.7,3857172.2,3775246.8,
44,1,4470109.8,4561297.5,4591500.4,4501593.5,4615953.7,4340158.7,4447022.8,4541927,4406285.5,4106562.3,3854790.8,3930940.8,4000141.9,4249181.9,4373018.4,3998514.3,3775356,
45,1,4387462.5,4448100.3,4513951.1,4591390.7,4771732.9,4757614.8,4512189.2,4594550.2,4496512.4,4553163.7,4071029.7,4150292.2,4114080.1,4194071.6,4226755.1,4479929.3,4101124.8,
46,1,4384263.9,4321545.6,4420571.3,4491370.6,4291244.2,4502545,4686792.6,4567506.6,4495731,4531090.9,4413143.5,4067085.7,4109274.2,3719028.5,4097166.5,4300424,4354648.7,
47,1,3914626.1,4256833.9,4232658.4,4398566.8,4568748.2,4460034.5,4468464.7,4664214.9,4503267.5,4456320.7,4487077.1,4391077.2,4215357.3,4280463,4050814.3,4018455,4114610,
48,1,3906411.8,4054261.4,4130993.8,4130602.2,4324971.3,4511184,4476567.7,4489012.2,4633850.8,4482413,4497421.8,4557219,4214936.2,4169791.2,4090413.6,3881518.3,4188760.7,
49,1,3843040.1,3907244.5,4121549.1,4210739.9,4278137.4,4286681.7,4498688.4,4385854.9,4582560.1,4484892.9,4576071,4417725.1,4406665.7,4244015.1,4098292.4,3998403.6,3902548.9,
50,1,3784831.9,4064768.6,4177263,4269731.9,4435248.8,4391173.5,4548222.3,4539518.8,4430950.2,4577856.6,4650060,4824366.1,4575096.7,4545159.1,4623867.5,4173812.2,4100034.6,
51,1,3710087.1,3695368.1,3669078.6,4060527.3,4020172.2,4304508.1,4240595.5,4295634.9,4385260.2,4440537.8,4489359.9,4704224.7,4463742.1,4409310.9,4483521.7,4405823.5,4028215.7,
52,1,3639758.6,3651158.5,3724758.1,3635689.7,3943203.9,4010240.4,4122583.3,4209086.1,4269138.2,4368040.2,4315015.5,4384834.9,4450375.9,4314051.3,4285460.4,4456737.4,4432617.3,
53,1,3587167.9,3495820.5,3706315.2,3653953,3561474.5,3867765.8,3988936,4275683.9,4282071.7,4344209.5,4337966.9,4244244.1,4606286.9,4581371.3,4311079.3,4383296.7,4516152.8,
54,1,3561908.2,3649722.7,3536697.8,3625820.6,3765592.9,3705384.1,3918386.6,3914002,4286596.8,4473281.1,4356341.4,4214090.8,4290525.7,4576497,4529029.5,4467074.3,4287175.4,
55,1,2823506,3474843.5,3634419,3612260.1,3568703.7,3708082.4,3829712.9,3835171.6,4071029.4,4154782.3,4321176,4475645.1,4332640.3,4437754.6,4321599.6,4452326,4521107.8,
56,1,2847258.8,2892032.9,3541776,3488769.3,3460373.8,3614763.9,3773845.3,3638075.3,3805600.2,3905919.8,4132345.1,4117145.5,4505538.7,4469183.1,4267983.7,4292491.6,4310035.3,
57,1,2878043.9,2705200.7,2806279.9,3516248.3,3566670.2,3504409.9,3700337.9,3698943.7,3765616.1,3868080,3976019.3,4016423.3,4139829.1,4514539.7,4359295.7,4366307.8,4340215.8,
58,1,2745716.8,2811526,2827986.2,2844591.3,3378910.9,3615126.4,3445468.5,3712258.7,3604514.1,3740358,3932345.8,3978413.6,3996174,3919633.8,4285228,4332996.2,4290975.4,
59,1,2440997.4,2782941.6,2659104.2,2696205.6,2796557.8,3384916.4,3471850.9,3486375.1,3508024.2,3621370.4,3570176.6,3882661.6,3905678.3,3761201.9,4184544.6,4390825,4374655,
60,1,2325878,2456340.1,2795317.4,2708930.3,2812092.2,2748902.1,3475887,3592956.9,3583829.9,3593543,3804143.1,3672781,3763560.4,4298453.1,4009502.4,4129068.3,4149886.7,
61,1,2358193.6,2214246.4,2298157.7,2745220.2,2637862.1,2721094.4,2617217.9,3348172.8,3457590.1,3605920.4,3530090,3671039.8,3634744.5,3753950.7,4006312.3,4096054.5,3960199.3,
62,1,2165631.7,2313251,2421936.5,2309739.9,2722080.7,2595390.1,2573306.5,2713925.8,3249731.7,3476828.7,3472821.9,3348335.8,3486149.4,3376196.5,3786844.6,3892996.1,3929482.7,
63,1,2164034,2132348.6,2221313.4,2324613.8,2325679.7,2688840.6,2498829.9,2635358.4,2683535.1,3366811.1,3432052.6,3537064.4,3322738.5,3283334.1,3566457.1,3651979.1,3794581.2,
64,1,1922654.4,2090709.1,2192968.8,2128051.5,2266813.2,2399118.3,2804891,2640734.1,2559741,2618923.1,3393987.1,3271517.5,3403981.1,3241612.8,3629297.4,3530099.2,3653630.9,
65,1,2129518.6,2113452.4,2121851.8,2431242.5,2389516.1,2390214.1,2480269.2,2739063.5,2739914.7,2845270.4,2505467.4,3316772.1,3498677.9,3042426.9,3494294.1,3639590.3,3545856.2,
66,1,2018847.9,2049787.5,1937366.9,2113317.2,2078318.6,2342004.2,2208142.2,2303939,2543223.2,2532083.7,2678041.5,2575009.7,3374402.7,3617231.3,3360809.2,3309723.3,3487368.6,
67,1,1799400.4,1893662.7,1868901,1753734.7,1976411.1,1763408.6,2089609.5,2119106.5,2341520.3,2397263.7,2452222.9,2484415.9,2732404.2,3326688.8,3361722.7,3172872.1,3327256.1,
68,1,1762724.3,1830256.6,1855293.6,1794627.8,1846589.2,1863984.7,1863329.9,1986961.8,2180536.2,2222494.1,2569994.7,2566043.7,2394483.4,2919780.7,3188740.7,3247960.9,3183265,
69,1,1858164.6,1835792.1,1654965,1725650.4,1839037.9,1871182.2,1987261,2016359,2019838.9,2234593.9,2162030.9,2657234.6,2437522.1,2369319.4,2322605.4,3146909.5,3206704.1,
70,1,1819864.2,1749557.6,1831894.8,1640408,1665058.2,1897559.2,1794120.4,1841223.3,1880649.9,2056801.6,2184058,2329274.4,2463439.1,2764372.5,2508299.5,2536844.3,3169644.5,
71,1,1778314.8,1792873.7,1697492,1852280.8,1694075.4,1696411.3,1749555.3,1673245.2,1738949.2,1810779.1,1912457.7,2085121.9,2303840.5,2278765.9,2365505.9,2419108.2,2433777.7,
72,1,1740673.1,1605017.9,1870901.6,1528478.7,1677692.2,1700791.3,1685269.4,1735493.7,1772067.4,1759154.8,1859026.1,1838865.5,1913976.3,2244093.6,2323222.1,2275185.7,2301617.5,
73,1,1631336.8,1578684.8,1600867.2,1799161,1586622.8,1491075.9,1585885.2,1628270.1,1641034.8,1767179.2,1750509.2,1814441.6,1828641.5,1983178.6,2187968.6,2269872.9,2171851.2,
74,1,1579320.1,1650178.5,1671613.2,1599417.6,1636442.4,1537202.2,1554422.3,1544523.6,1546217.7,1655986.3,1713868.8,1716129.3,1754593.7,1749007.8,1824340.4,1923865.3,2384671,
75,1,1598737.7,1581000.9,1707786,1580571.3,1621425.7,1655451.7,1560316.3,1582436.4,1584720.9,1533114.8,1642686.3,1629095.1,1581054.3,1814601,1843202.8,1845139.3,1924664,
76,1,1465685.5,1442565.8,1494656.9,1684248.2,1545512.1,1557911.3,1546139.8,1474451.2,1550405.3,1490870.8,1451285.5,1595962.2,1579518.8,1337813.4,1628827,1784813,1927501.7,
77,1,1554509,1679277.9,1403233.6,1678201.5,1702520.6,1650979.3,1743626.7,1541422.6,1562828.3,1680532,1331285.7,1396610,1603133,1464392.6,1627885.1,1639720.1,1686733.2,
78,1,1354344.1,1479679.5,1481604.8,1486743,1423708.6,1534797.5,1504116.8,1529364.4,1474137.8,1457191.6,1419631.8,1343587,1524601.2,1656135.3,1504926.2,1669466.1,1559141.3,
79,1,1384181.9,1246375.8,1394972.6,1201062.2,1292557.9,1244687.7,1212439.2,1225561.3,1157352.1,1208985,1329697,1366178.6,1309244.5,1487137.3,1397341.3,1481559.4,1447208.2,
80,1,1202592.1,8242112.9,8640422.8,5219568,5392190.4,5318147.2,5512506.5,5559485.1,5676489.6,5708203.4,5792384.1,5786119.9,5691916.9,5539235.3,5479519.6,5636804.6,5644545.8,
81,1,961969.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,890818.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,807905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,843782.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,3382905.2,0,0,3570545.3,3841779.5,3988982.5,3958032,4288928.8,4377847.2,4586047.5,5022204.3,5005889.2,5295984.6,5368659.8,5574751.7,5547110.6,5872046.6,
