x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
21,1,2342409.6,2753698.4,2698101.6,2591890.2,2475494.9,3125340.3,3081061.6,3137767.1,3103723.4,,,,,3847923.9,,,,,4236983.3,4304680.8,4144383.7,4147056.2,,4019884.1,3630650,3641497.5,3358404.9,3517201.2,3603635.3,3600805.4,3338039.3,3453493.7,,3358762.1,3535577.9,3492092.7,3854691.2,3789568.4,3777519.8,3882077.3,3940894.8,4190784.9,3994235.4,4107930.5,4192715,4052413.6,4044497,4224570.8,4447563.8,4519251.3,4497261.7,4260438,4346347.5,4356409.4,4271609.3,
22,1,2216413.1,2348292.3,2659711.7,2663947.6,2543143.6,2402567,3262277.4,3358083.5,3247987.8,,,,,3682798.3,,,,,4064630.6,4298466.3,4298479.5,4389917.5,,3904971,3935270.7,3656544.2,3576362,3586672.6,3616728.2,3776046.5,3781523.1,3688124.7,,3323659.3,3291172.6,3347545.6,3528362.4,3639382.3,3661747.7,3675036.6,4038817.1,4092345.8,4149097.7,4024549.3,3960461.1,4204859.3,4206501.5,4189482.7,4157115.3,4334916.6,4631654.4,4346591.6,4535790.4,4119422,4403880.5,
23,1,2090121,2248865.5,2348260.3,2753753.2,2790216.1,2652016.5,2536333.1,3321422.7,3471651.3,,,,,3713645.2,,,,,4266253,4192494.1,4251082.9,4309845.8,,4173990.3,4024405.2,3959829,3785691.2,3608366.2,3585637.8,3595665.4,3533782.9,4085719.8,,3650551.6,3413338.8,3475250.1,3412679.7,3558574.4,3702264.8,3768254.3,3733273.9,4041316,4004837.4,4086842.1,4029757,4284570.9,4044861.3,4066565.5,4353603.2,4313772.1,4448984.7,4541585.5,4283808.6,4420126.9,4329346.5,
24,1,2035733.8,2182109.9,2368402.2,2523032.7,2892435.4,2855247,2749331.3,2575610.7,3327426.3,,,,,3567637.5,,,,,4162334.9,4233556.6,4309764,4187957.5,,4231529.3,4067518.7,3978905.3,4039926.3,3743752.4,3628254.1,3516236.4,3801420.3,3863134.5,,3758411.3,3652359,3561766.3,3623232.5,3557321.2,3816335.1,3825640.7,3960082.1,3906565.1,4154218.9,4172479.2,4246220.2,3940038.1,4282768.2,4201347.1,4136605.1,4215766.6,4316297,4764482.3,4767351.5,4541496.5,4416220,
25,1,2017499.2,2200807.9,2180422.6,2379867.4,2449308.2,2732599.5,2823490.8,2705331.7,2696410.9,,,,,3346919.4,,,,,4146437.9,4182924.3,4137935.8,4358691.3,,4533349.2,4367453,4328532.6,4245199.4,4106179.4,3829397.9,3618591.4,3700455.3,3884835.9,,4286598.7,3769073.3,3521248.3,3297312,3511658.6,3692945.9,3667571.3,3696176.3,3916868,4100892,4381134.3,4263504.8,4245297.9,4249193.6,4172154.2,4234843.6,4045473,4166263.1,4076420.7,4591239.5,4803188.7,4514282,
26,1,1985208.6,2209139.3,2134093.9,2226094.9,2444722.1,2531148.2,2850668.6,2825954.2,2748678.8,,,,,3340191.9,,,,,4000424.2,4125237.3,4391584.8,4239586.9,,4314605.6,4500969.5,4263640,4221994.9,4139426.2,4136132.8,4032110.1,3749149.4,3676312.1,,3803641.2,3994179,3800659.9,3670066.5,3397757.8,3631235.7,3656799.4,3793745.6,3790059.4,3804090.6,4152888.9,4282405.8,4214409.1,4222246.7,3948519.3,4411548.9,4392991.3,4133082.7,4517636.6,4337478,4578614,4917106.3,
27,1,2115561.7,2038741.9,2258718.5,2180986.2,2281796.3,2451428.2,2428240.5,2785926.1,2981909.5,,,,,3477246.7,,,,,3865663.8,4090002,4141269.7,4186235.3,,4264333.8,4431223.2,4380599.9,4301431.1,4209850.2,4181906.3,4024914.7,3892223.9,3892459,,3794313.1,3729646.3,3968267.7,3609993.1,3490319.9,3617858,3633022.2,3765975.5,3717052.2,3864528.3,3761612.6,4191200.2,4368126,4251970.1,4107190.2,3976765.4,4071072.2,4465400.5,4565310.3,4311287.3,4207804.4,4567874.4,
28,1,2173794.3,2222306,2133228.5,2362390.7,2182895.3,2282633.7,2447174.9,2558335.5,2671252.8,,,,,3543715.1,,,,,3934341.1,3835146.1,4060889.7,4130421.6,,4296567.6,4170351.3,4220616.5,4348214.9,4318862.5,4294300.2,4208774.8,3993775.2,4126509.3,,3635776.4,3881931.9,3789659,4117410.8,3723361.5,3672914.4,3551736.2,3702931.4,3796053.3,3813702.2,3944632.9,3890051,4221255.4,4344402.4,4155223.5,3945013.7,4177593.9,4214977.2,4225794.4,4398255.7,4372328.2,4314505.6,
29,1,2035582.3,2093932.7,2207886.4,2102966.6,2345214,2229189.7,2270481.2,2503946.1,2643899.6,,,,,3510860.8,,,,,3744335.9,3958582.6,3905903.6,4130955.9,,4210088.3,4166053.4,4394910.7,4360840.1,4425529.3,4325390,4247506.7,4267587.1,4045596,,3941189.1,3885118.8,3916282.6,3943957.3,4145183,3931602.4,3800446.2,3762506.1,3787852.7,3918189,3897530.1,4038556.9,4008284.5,4187812.1,4326868.5,4196742.8,4206240.3,4158577.2,4045951.3,4228894.3,4471871.5,4431105.9,
30,1,2079734.9,2043257.3,2196872,2257761.3,2101220.4,2260938.1,2236849.6,2269421.7,2392314.7,,,,,2730274,,,,,3697319.8,3885647,3995704.3,3932114,,4398772.7,4451276.8,4536602,4433919.7,4507965.6,4556158,4641990.2,4638811,4402029.1,,4101016,4095459.4,3974806.1,4075949.1,3891334.2,4386633.5,4093092.5,3883870.3,3913621.7,3773900.9,4055518.4,4050677.1,4040152.2,4044358.9,4132041.6,4301251.2,4108062,4284134.2,4276767.4,4340061.3,4435595.5,4535625.2,
31,1,2108034.7,2244005.3,1866383.1,2131325.3,2175040.4,2161842.5,2259486.8,2234847.1,2359709.6,,,,,2767080,,,,,3704416.3,3627116,3777800.6,3977152.4,,4216578.7,4216384.2,4596870.4,4462012.4,4401893.7,4443692.2,4474239.8,4177563.9,4425832.3,,4249466.3,4006059.9,3912637.7,3957582.8,4008636.4,4051045.8,4210828,4112180.6,3703566.4,3744086.7,3768482.7,3875848.4,3835671.9,3925659.3,3965892.6,4120736.4,4222127.2,3978949.8,3947607.5,4078066.9,4261475.6,4413269.7,
32,1,2141065.7,2185382.9,2308401.7,2064482,2199493.8,2169114.6,2193290,2274862.5,2304940.7,,,,,2908324.1,,,,,3460433.3,3680015.1,3717739.9,3921079,,4046837.7,4145197.7,4069848.7,4537841.5,4466888.6,4268499.7,4494669.5,4685183.1,4400214.6,,4432290.6,4297608.4,3837230.1,3698357.3,3733591.8,4013734.4,4180681.6,4269862.3,4015037.4,3792932,3675607.4,3881781.4,3655514.5,3819068.6,3758733.1,3965437.2,4083254.9,4372765,4177762.2,4296287.1,4200625,4400920.7,
33,1,2329859.9,2283121.3,2192308.5,2271574.9,2138801.1,2135740.1,2110773.4,2189352.5,2296066.3,,,,,2991787.2,,,,,3640443,3540592.5,3596504.1,3668015.2,,3909445.2,4186864.4,4110923.8,4145116,4392523.7,4463985.3,4383221.5,4392291.1,4566955.1,,4192851.8,4135228.1,4246955.6,4003188.3,3817199.6,3763621,3989552.7,4227288.5,4363711.3,4067857.1,3878373.7,3615452,3927200.7,3636057,3834876,3746193.1,3925004.3,4093415.5,4368124.1,4128837.6,4300878.7,3943341,
