x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
49,1,138648.4,190249.1,171232.7,137619.5,184974.6,209896.4,157254.2,147751.4,196975.2,185020.2,186982.4,160547.7,183051.8,145861.6,161441.7,147290,158714.3,
50,1,144086.3,190966.3,188962.6,163906.1,179803.8,167745.7,168386.8,169699.9,163803.2,184441.6,163634.8,193081.1,148488,162958.9,166025,197721.9,155894.9,
51,1,132700.7,149139.8,122494.8,162223.3,164759.3,163631.6,179672.7,168713.9,173270.1,149013.8,166445.3,194889.6,177421.4,150423.9,142839.5,128444,124314,
52,1,147152.3,140873.4,163585.2,138777.8,133745.9,144030.1,142584.2,145132.8,141186.1,180190.2,142953.9,155267.6,165420.4,159698.6,141243.7,144151.4,142234.8,
53,1,132069.6,131630.4,153553.2,162734.5,119530.2,145366.5,152706,151211.8,150855.9,159235.6,136759.2,98081.4,166272.4,137971.9,164870.5,160271.6,180209.6,
54,1,121050.7,179560.3,110774,134581.5,136817.6,118365.8,146862.5,152571,157534.2,180571.8,139807.4,138248.4,146855.9,109052.7,133255.6,140405.5,127832.1,
55,1,101175.1,136720.4,134962.3,141677.6,129162.4,126575,92088.6,116633,126165.6,112710.9,133565.2,108570.4,154046.8,255017,151272,117448.4,151187,
56,1,116333,100268.7,128087.2,105734.2,91770.6,119800,147177,99108.2,87124.5,116926.1,111917.8,147131.8,177180.2,153773,131811.8,119769.8,133805.7,
57,1,88378.8,86580.3,78578,110708.4,144519.7,150373.3,142044.2,84615.9,94445.9,119283.8,99031.4,112468.2,92587.8,137617.9,120527.5,112289.1,136146.2,
58,1,87658.7,103847.5,97707.9,79486.8,119880,107915,116735.3,90688.1,80253.8,126377.1,113316.4,127956.8,98709.3,69798.6,161612.5,138580.6,157668,
59,1,80977.3,82116.1,95375.5,112209.1,89767.6,115084,125850.7,118320.1,106814.5,86372.1,92422.2,113438.1,104114,139283.2,153399.5,113148.8,115718.2,
60,1,75084.3,81033,91401.7,92086.4,97925.9,87335,112564.2,97019.5,105351.2,78717.3,101486.4,100548.5,106410.2,137959.8,107004.1,117484.6,137829.3,
61,1,85269.5,75558.3,101475.3,90128.2,74508.6,54178,89807.6,75020.5,86932.1,109844.9,109965.2,112528.7,84395.6,117718.1,132100.4,116623.4,117167.7,
62,1,73684,86922.3,70468.2,83037.5,91754.7,69897.3,60768.4,56682.2,88733.7,79121,85582.9,93605.2,80856,117005.2,99142.8,121313.9,121205.9,
63,1,65222.1,56196.8,64889.8,66882.9,51404.4,64401.2,49226.3,54442.6,76533.4,88230.5,60534.9,109055.8,64343.4,81030.5,96866.7,86121.5,117382.2,
64,1,71849.9,68797.9,57336.3,69282.5,65976.9,89325.8,80640.5,75905.1,45506.6,60941.6,54595.6,69720,78349.9,77946.3,100838.6,87397.6,64205.4,
65,1,50088.2,54821.3,44247.6,77461.4,60368.8,71924.1,66695.3,55574.6,62503.7,84285,74237.6,79564.4,86368.6,65297.4,85396.4,92124.6,95111.6,
66,1,42397.3,50200.9,46379.7,56950.5,38643.7,54955.7,62698.9,43818.6,34231.4,75158,48050.3,58851.3,100504.2,64616.7,103003.7,54969,78989.7,
67,1,43684.2,49086.6,71957,56552.6,42943,40808.7,58064.5,32459.9,44547.7,67213.9,40932.9,48687.4,40716.9,29893.1,65796,53098.9,74497.2,
68,1,42521.3,32746.9,45704.6,49719.7,61072.3,53497.2,33879.6,49488,55240.3,40304.9,23910.3,37927.6,33630.8,20439.9,73324,44297.5,61754,
69,1,42066.3,38248.4,32365.5,39435.1,74159.1,52350.1,41672.2,36220.2,28975.3,34375,34608.6,47942.9,49290.4,53335.7,42496.2,58245.2,58711.6,
70,1,34445.6,45732.3,35088.1,36532.2,23312.3,35654,56790.1,53030.1,31963.8,33902.1,42989.5,54280.7,57507.3,58166.9,56823.2,45707.9,79708.3,
71,1,49925.1,54853.7,59849.3,42420.6,37284.6,41335.5,63226.5,32760.3,48419.9,37528.1,25815.5,66126.5,48998.6,43889.6,42826.2,58852.2,66642.1,
72,1,47301.1,37273.5,44277.3,40263.4,32759.9,42933,36194.1,31654.1,34000.1,23647.4,32481.9,38452.1,46309.6,2396.6,46628.3,54243.9,40643.1,
73,1,37859.3,36970.8,35965.4,40223.4,41976.6,39915,30436.2,34996.7,35221.4,13304.3,25854.9,30449.6,20539.5,23105.4,48118.4,38909.9,46904.6,
74,1,32354.2,29405.1,21919.6,21107,45436.8,20793,43878.3,35569.4,41102.8,40766,28200.4,16023.5,25040.3,32219.1,50408.9,22136.5,34768.7,
75,1,40712.8,34806.1,31633.2,32724.7,33709.3,20371.7,27219.1,21266.8,28543.7,23646.9,17833.5,26416.4,37040.7,31715.9,48993.4,20768.6,30835.1,
76,1,27382.1,31028.2,22639.7,24272.2,33789,32764.4,21978.5,14260.1,32688.2,39766.2,25219,25661.4,38594.8,32364.9,29916,21175.7,43269.3,
77,1,33572.8,45486,43629.4,51075.6,33670.3,38094.1,31489.8,24483.8,20680.8,19453.5,32648.3,10619.1,39910.1,17634.8,45092.6,27121,24533.7,
78,1,21623.7,25184.6,23067.9,27385.1,32669.5,29809.2,25855.1,35699.9,20966.2,20978.5,25546.8,29718.6,22533.5,27087.4,32315.7,36647.4,5572.2,
79,1,34580.7,23563.1,47357.3,38883.1,25675.9,24751.7,22626.6,22223.1,25278.1,26323.4,14930.8,31922.3,22615.4,41321.7,26769.4,26028.8,21122.2,
80,1,23124.7,199304.6,204374.5,147010.8,125162.6,111753,130141.1,114607.2,117587.7,108864.4,136229.5,96461,110371.8,34946.2,116187.5,90609.6,110035.1,
81,1,21234.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,28416.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,15221.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,18205.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,100210.8,0,0,105711.6,105237.4,121593.6,103291.3,90703,104882.4,104022.6,108759.8,129306.7,144361.2,61515.1,157467,131251.3,154819.7,
